p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.000501664,-0.000501664,-0.000586555,-0.000593982,-0.000599057,-0.000570075,-0.000528693,-0.000472904,-0.000411949,-0.00034895,-0.000288494,-0.000232849,-0.00018376,-0.000141803,-0.000106965,-7.87E-05,-5.61E-05,-3.81E-05,-2.36E-05,-1.14E-05,-4.69E-07,1.05E-05,2.25E-05,3.67E-05,5.44E-05,7.65E-05,0.000104355,0.000138676,0.000180125,0.000228772,0.000284107,0.000344455,0.000407603,0.000468992,0.000525489,0.000567764,0.000597724,0.000593488,0.00058671,0.000501969,0.000501969
-0.000767234,-0.000767234,-0.000895558,-0.000905348,-0.000911186,-0.00086507,-0.000800336,-0.000714123,-0.000620607,-0.000524519,-0.000432747,-0.00034862,-0.00027466,-0.000211635,-0.000159438,-0.000117149,-8.34E-05,-5.66E-05,-3.51E-05,-1.70E-05,-7.57E-07,1.54E-05,3.33E-05,5.44E-05,8.06E-05,0.00011369,0.000155188,0.000206532,0.000268717,0.000341944,0.000425558,0.000517154,0.000613505,0.00070777,0.000795205,0.000861483,0.000909299,0.000904903,0.000896232,0.000768093,0.000768093
-0.00115889,-0.00115889,-0.00135052,-0.00136267,-0.00136827,-0.00129556,-0.00119532,-0.0010636,-0.000921845,-0.000777139,-0.000639664,-0.00051421,-0.000404341,-0.000311029,-0.000233973,-0.000171701,-0.000122144,-8.29E-05,-5.13E-05,-2.50E-05,-1.20E-06,2.24E-05,4.84E-05,7.93E-05,0.000117706,0.000166155,0.000227139,0.000302806,0.000394742,0.000503405,0.000628011,0.000765198,0.000910348,0.00105337,0.00118718,0.00129006,0.0013657,0.00136257,0.00135234,0.0011609,0.0011609
-0.00173076,-0.00173076,-0.00201371,-0.00202737,-0.00203033,-0.00191656,-0.00176277,-0.00156358,-0.00135111,-0.00113579,-0.000932423,-0.000747766,-0.000586736,-0.000450477,-0.000338315,-0.000247928,-0.000176177,-0.000119444,-7.40E-05,-3.60E-05,-1.89E-06,3.20E-05,6.94E-05,0.000113846,0.000169168,0.000239146,0.000327465,0.000437385,0.00057141,0.000730474,0.000913739,0.00111663,0.00133269,0.00154729,0.00175,0.00190829,0.00202706,0.00202829,0.00201792,0.00173509,0.00173509
-0.00255251,-0.00255251,-0.00296541,-0.00297812,-0.00297357,-0.00279717,-0.00256359,-0.00226581,-0.00195127,-0.00163506,-0.00133834,-0.00107041,-0.000837858,-0.000641891,-0.000481154,-0.000352035,-0.000249828,-0.000169227,-0.000104782,-5.11E-05,-2.91E-06,4.50E-05,9.77E-05,0.000160543,0.000238923,0.000338325,0.000464158,0.000621311,0.000813686,0.00104304,0.00130869,0.0016046,0.00192199,0.00224004,0.00254368,0.00278481,0.00296969,0.00298134,0.00297423,0.00256121,0.00256121
-0.00372677,-0.00372677,-0.00432333,-0.00432909,-0.00430747,-0.00403559,-0.00368357,-0.00324256,-0.00278175,-0.00232265,-0.00189491,-0.00151105,-0.00117961,-0.000901562,-0.000674392,-0.000492541,-0.000349042,-0.000236201,-0.000146218,-7.14E-05,-4.43E-06,6.21E-05,0.000135391,0.0002229,0.000332282,0.000471399,0.000648084,0.000869589,0.00114191,0.00146823,0.00184835,0.00227471,0.00273565,0.00320216,0.00365282,0.00401746,0.00430364,0.00433726,0.00434101,0.00374374,0.00374374
-0.00536969,-0.00536969,-0.00622169,-0.00620906,-0.00615351,-0.00573853,-0.00521371,-0.00456863,-0.0039025,-0.00324541,-0.00263799,-0.00209659,-0.00163175,-0.00124376,-0.000928137,-0.000676464,-0.000478568,-0.000323467,-0.000200168,-9.80E-05,-6.62E-06,8.40E-05,0.000183926,0.00030344,0.000453229,0.000644359,0.000888009,0.00119477,0.0015737,0.00203032,0.00256561,0.00317058,0.00383036,0.0045055,0.00516618,0.00571179,0.00615062,0.00622636,0.00625512,0.00540117,0.00540117
-0.00768214,-0.00768214,-0.00888923,-0.00883434,-0.00871314,-0.00808147,-0.00730276,-0.00636606,-0.00541136,-0.00448016,-0.00362676,-0.00287184,-0.00222771,-0.00169301,-0.00126009,-0.00091636,-0.000647107,-0.000436833,-0.000270232,-0.000132583,-9.78E-06,0.00011189,0.000246132,0.000407009,0.000609217,0.000868142,0.00119954,0.00161872,0.00213924,0.00277032,0.0035153,0.00436442,0.00529943,0.00626823,0.00722997,0.00804278,0.00871418,0.00886943,0.0089518,0.00774033,0.00774033
-0.0108208,-0.0108208,-0.0125096,-0.0123733,-0.012136,-0.0111869,-0.0100473,-0.00870799,-0.00736191,-0.00606494,-0.00488735,-0.00385416,-0.00297855,-0.00225606,-0.00167415,-0.0012143,-0.000855651,-0.000576717,-0.000356582,-0.000175358,-1.41E-05,0.000145435,0.000321609,0.00053323,0.000800109,0.00114322,0.00158436,0.0021452,0.00284565,0.00370059,0.0047175,0.0058873,0.00718893,0.00855613,0.00993454,0.011129,0.0121432,0.0124375,0.0126204,0.010923,0.010923
-0.0152476,-0.0152476,-0.0175953,-0.0172951,-0.0168414,-0.0154092,-0.013738,-0.0118272,-0.00993633,-0.00814023,-0.00652615,-0.00512314,-0.00394292,-0.00297563,-0.00220095,-0.00159196,-0.00111921,-0.000753155,-0.000465473,-0.000229552,-2.03E-05,0.000186535,0.000415036,0.000690168,0.00103836,0.00148795,0.0020688,0.00281146,0.00374481,0.00489261,0.00626925,0.00786961,0.00967096,0.0115934,0.0135649,0.0153246,0.016864,0.0174145,0.0177947,0.0154313,0.0154313
